"Interval start","All packets"
0,790848
1,1.25773e+06
2,1.21e+06
3,1.01536e+06
4,1.40451e+06
5,765296
6,1.66524e+06
7,524528
8,1.08432e+06
9,1.23146e+06
10,934624
11,1.55258e+06
12,619800
13,1.03696e+06
14,1.17237e+06
15,1.02691e+06
16,1.38582e+06
17,748944
18,1.65074e+06
19,530544
20,1.04618e+06
21,1.25739e+06
22,932440
23,1.56746e+06
24,648904
25,1.04917e+06
26,1.17551e+06
27,1.05915e+06
28,1.37381e+06
29,762112
30,1.65702e+06
31,521968
32,1.02071e+06
33,1.29684e+06
34,873456
35,1.52921e+06
36,681720
37,1.04538e+06
38,1.19366e+06
39,989216
40,1.42452e+06
41,763576
42,1.65842e+06
43,521616
44,1.10258e+06
45,1.22226e+06
46,916864
47,1.52579e+06
48,662352
49,1.11962e+06
50,1.19182e+06
51,1.00072e+06
52,1.41986e+06
53,777328
54,1.6474e+06
55,548384
56,1.05671e+06
57,1.26122e+06
58,937488
59,325432
