"Interval start","All packets"
0,764344
1,1.64274e+06
2,476936
3,1.0052e+06
4,1.15313e+06
5,945680
6,1.49354e+06
7,644000
8,976056
9,1.15371e+06
10,989040
11,1.32525e+06
12,785032
13,1.60087e+06
14,509008
15,1.02513e+06
16,1.13955e+06
17,912560
18,1.45178e+06
19,629328
20,1.10413e+06
21,1.04633e+06
22,985928
23,1.35018e+06
24,774808
25,1.43231e+06
26,623392
27,1.01546e+06
28,1.14822e+06
29,961528
30,1.399e+06
31,704152
32,1.38993e+06
33,723608
34,1.03408e+06
35,1.30289e+06
36,780696
37,1.62094e+06
38,488408
39,1.01016e+06
40,1.17057e+06
41,949560
42,1.47067e+06
43,608592
44,1.51235e+06
45,635376
46,980488
47,1.22547e+06
48,874448
49,1.64248e+06
50,480944
51,1.00936e+06
52,1.1223e+06
53,986392
54,1.47658e+06
55,607616
56,1.58739e+06
57,574128
58,802392
